"Case ID Number","Defendant Number","Count","Offense Code_enhancement","Section Code_enhancement","Enhancement Type","Disposition Date_enhancement","Disposition_enhancement","Race","Gender","Date of Arrest","Bail Amount","Appearance Status","Sealed Case","Date of Violation","Attempt","Offense Code_primary","Section Code_primary","Crime Type","Disposition Date_primary","Disposition_primary","...11","has_prior"
3327650,3334301,1,"186.22(b)(1)","PC","Enhancement",2022-04-25,"TRUE","Hispanic","Male",2021-10-02,NA,"In Custody",NA,2021-10-02,"N","11378","HS","Felony",2022-04-25,"Guilty",NA,1
3327650,3334301,2,"186.22(b)(1)","PC","Enhancement",2022-04-25,"TRUE","Hispanic","Male",2021-10-02,NA,"In Custody",NA,2021-10-02,"N","11351","HS","Felony",2022-04-25,"Guilty",NA,1
3327650,3334301,3,"186.22(b)(1)","PC","Enhancement",2022-04-25,"TRUE","Hispanic","Male",2021-10-02,NA,"In Custody",NA,2021-10-02,"N","11370.1(a)","HS","Felony",2022-04-25,"Guilty",NA,1
3327650,3334301,4,"186.22(b)(1)","PC","Enhancement",2022-04-25,"TRUE","Hispanic","Male",2021-10-02,NA,"In Custody",NA,2021-10-02,"N","29800(a)(1)","PC","Felony",2022-04-25,"Guilty",NA,1
3327650,3334301,5,"186.22(b)(1)","PC","Enhancement",2022-04-25,"TRUE","Hispanic","Male",2021-10-02,NA,"In Custody",NA,2021-10-02,"N","30305(a)(1)","PC","Felony",2022-04-25,"Guilty",NA,1
3328477,3335190,1,"186.22(b)(1)","PC","Enhancement",2024-04-10,"TRUE","Hispanic","Male",2021-10-07,40000,"In Custody",NA,2021-10-07,"N","29800(a)(1)","PC","Felony",2024-04-10,"Guilty",NA,0
3328477,3335190,2,"186.22(b)(1)","PC","Enhancement",2024-04-10,"TRUE","Hispanic","Male",2021-10-07,40000,"In Custody",NA,2021-10-07,"N","11351","HS","Felony",2024-04-10,"Guilty",NA,0
3328477,3335190,3,"186.22(b)(1)","PC","Enhancement",2024-04-10,"TRUE","Hispanic","Male",2021-10-07,40000,"In Custody",NA,2021-10-07,"N","11378","HS","Felony",2024-04-10,"Guilty",NA,0
3328477,3335190,5,"186.22(b)(1)","PC","Enhancement",2024-04-10,"TRUE","Hispanic","Male",2021-10-07,40000,"In Custody",NA,2021-10-07,"N","11370.1(a)","HS","Felony",2024-04-10,"Guilty",NA,0
3328477,3335191,1,"186.22(b)(1)","PC","Enhancement",2023-04-18,"Dismissed/Not True","Hispanic","Male",2021-10-07,1e+05,"In Custody",NA,2021-10-07,"N","29800(a)(1)","PC","Felony",2023-04-18,"Guilty",NA,1
3328477,3335191,2,"186.22(b)(1)","PC","Enhancement",2023-04-18,"Dismissed/Not True","Hispanic","Male",2021-10-07,1e+05,"In Custody",NA,2021-10-07,"N","11351","HS","Felony",2023-04-18,"Guilty",NA,1
3328477,3335191,3,"186.22(b)(1)","PC","Enhancement",2023-04-18,"Dismissed/Not True","Hispanic","Male",2021-10-07,1e+05,"In Custody",NA,2021-10-07,"N","11378","HS","Felony",2023-04-18,"Guilty",NA,1
3328477,3335191,5,"186.22(b)(1)","PC","Enhancement",2023-04-18,"Dismissed/Not True","Hispanic","Male",2021-10-07,1e+05,"In Custody",NA,2021-10-07,"N","11370.1(a)","HS","Felony",2023-04-18,"Guilty",NA,1
3328477,3335192,1,"186.22(b)(1)","PC","Enhancement",2023-06-27,"TRUE","Hispanic","Male",2021-10-07,40000,"Arraignment Letter",NA,2021-10-07,"N","29800(a)(1)","PC","Felony",2023-06-27,"Guilty",NA,0
3328477,3335192,2,"186.22(b)(1)","PC","Enhancement",2023-06-27,"TRUE","Hispanic","Male",2021-10-07,40000,"Arraignment Letter",NA,2021-10-07,"N","11351","HS","Felony",2023-06-27,"Guilty",NA,0
3328477,3335192,3,"186.22(b)(1)","PC","Enhancement",2023-06-27,"TRUE","Hispanic","Male",2021-10-07,40000,"Arraignment Letter",NA,2021-10-07,"N","11378","HS","Felony",2023-06-27,"Guilty",NA,0
