"Case ID Number","Defendant Number","Count","Offense Code_enhancement","Section Code_enhancement","Enhancement Type","Disposition Date_enhancement","Disposition_enhancement","Race","Gender","Date of Arrest","Bail Amount","Appearance Status","Sealed Case","Date of Violation","Attempt","Offense Code_primary","Section Code_primary","Crime Type","Disposition Date_primary","Disposition_primary","has_prior"
2594497,2644005,1,"186.22(b)(1)","PC","Enhancement",2014-11-05,"Dismissed/Not True","Hispanic","Male",2014-05-31,1e+05,"In Custody",NA,2014-05-31,"N","211/212.5(c)","PC","Felony",2014-11-05,"Dismissed/Not Guilty",1
2594497,2644005,2,"186.22(b)(1)","PC","Enhancement",2014-11-05,"Dismissed/Not True","Hispanic","Male",2014-05-31,1e+05,"In Custody",NA,2014-05-31,"N","29800(a)(1)","PC","Felony",2014-11-05,"Dismissed/Not Guilty",1
2594498,2644006,1,"186.22(b)(1)","PC","Enhancement",2015-05-12,"True","Hispanic","Male",2014-05-30,40000,"In Custody",NA,2014-05-09,"N","29800(a)(1)","PC","Felony",2015-05-12,"Guilty",0
2594498,2644006,2,"186.22(b)(1)","PC","Enhancement",2015-05-12,"True","Hispanic","Male",2014-05-30,40000,"In Custody",NA,2014-05-09,"N","30305(a)(1)","PC","Felony",2015-05-12,"Guilty",0
2594498,2644006,3,"186.22(b)(1)","PC","Enhancement",2015-05-12,"True","Hispanic","Male",2014-05-30,40000,"In Custody",NA,2014-05-30,"N","11378","HS","Felony",2015-05-12,"Guilty",0
2594543,2644057,1,"186.22(b)(1)","PC","Enhancement",2015-04-20,"Dismissed/Not True","Hispanic","Male",2014-06-01,NA,"Appearance Date",NA,2014-06-01,"N","594(a)/(b)(1)","PC","Felony",2015-04-20,"Guilty",0
2594558,2644071,1,"186.22(b)(1)","PC","Enhancement",2015-12-16,"True","Hispanic","Male",2014-05-30,1e+06,"In Custody",NA,2014-05-30,"N","664(a)-187(a)","PC","Felony",2015-12-16,"Guilty",0
2594558,2644071,2,"186.22(b)(1)","PC","Enhancement",2015-12-16,"Dismissed/Not True","Hispanic","Male",2014-05-30,1e+06,"In Custody",NA,2014-05-30,"N","626.9(b)","PC","Felony",2015-12-16,"Dismissed/Not Guilty",0
2594558,2644072,1,"186.22(b)(1)","PC","Enhancement",2015-12-16,"True","Hispanic","Male",2014-05-30,1e+06,"In Custody",NA,2014-05-30,"N","664(a)-187(a)","PC","Felony",2015-12-16,"Guilty",0
2594558,2644072,2,"186.22(b)(1)","PC","Enhancement",2015-12-16,"Dismissed/Not True","Hispanic","Male",2014-05-30,1e+06,"In Custody",NA,2014-05-30,"N","626.9(b)","PC","Felony",2015-12-16,"Dismissed/Not Guilty",0
2595445,2645020,1,"186.22(b)(1)","PC","Enhancement",2018-07-20,"Dismissed/Not True","Hispanic","Male",NA,NA,"In Custody",NA,2014-05-20,"N","187(a)","PC","Felony",2018-07-20,"Dismissed/Not Guilty",0
2595445,2645020,2,"186.22(b)(1)","PC","Enhancement",2018-07-20,"Dismissed/Not True","Hispanic","Male",NA,NA,"In Custody",NA,2014-05-20,"N","664(a)-187(a)","PC","Felony",2018-07-20,"Dismissed/Not Guilty",0
2595445,2645020,4,"186.22(b)(4)","PC","Other",2018-05-25,"True","Hispanic","Male",NA,NA,"In Custody",NA,2014-05-20,"N","192(a)","PC","Felony",2018-05-25,"Guilty",0
2595445,2645022,1,"186.22(b)(1)","PC","Enhancement",2018-07-20,"Dismissed/Not True","Hispanic","Female",2014-06-03,NA,"In Custody",NA,2014-05-20,"N","187(a)","PC","Felony",2018-07-20,"Dismissed/Not Guilty",0
2595445,2645022,2,"186.22(b)(1)","PC","Enhancement",2018-07-20,"Dismissed/Not True","Hispanic","Female",2014-06-03,NA,"In Custody",NA,2014-05-20,"N","664(a)-187(a)","PC","Felony",2018-07-20,"Dismissed/Not Guilty",0
2595445,2645022,4,"186.22(b)(4)","PC","Other",2018-05-25,"True","Hispanic","Female",2014-06-03,NA,"In Custody",NA,2014-05-20,"N","192(a)","PC","Felony",2018-05-25,"Guilty",0
2595587,2645171,2,"186.22(b)(1)","PC","Enhancement",2014-08-22,"True","Hispanic","Male",NA,1e+05,NA,NA,2011-11-23,"N","11370.1(a)","HS","Felony",2014-08-22,"Guilty",1
2595587,2645171,4,"186.22(b)(1)","PC","Enhancement",2014-08-22,"True","Hispanic","Male",NA,1e+05,NA,NA,2011-11-11,"N","12021(a)(1)","PC","Felony",2014-08-22,"Guilty",1
